學校名稱,科系,地址,官方網站
中華醫事科技大學,職業安全衛生系,717302臺南市仁德區文華一街89號,https://www.hwai.edu.tw
中華醫事科技大學,調理保健技術系,717302臺南市仁德區文華一街89號,https://www.hwai.edu.tw
中華醫事科技大學,運動健康與休閒系,717302臺南市仁德區文華一街89號,https://www.hwai.edu.tw
中華醫事科技大學,寵物照護與美容系,717302臺南市仁德區文華一街89號,https://www.hwai.edu.tw
中華醫事科技大學,醫務暨健康事業管理系,717302臺南市仁德區文華一街89號,https://www.hwai.edu.tw
中華醫事科技大學,生物醫學及美容保健科,717302臺南市仁德區文華一街89號,https://www.hwai.edu.tw
中華科技大學,航空機械系精密機械組,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
中華科技大學,航空機械系航空維修組,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
中華科技大學,電機與資訊工程系,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
中華科技大學,建築系,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
中華科技大學,建築系室內設計組,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
中華科技大學,生物科技系生物科技組,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
中華科技大學,生物科技系化妝品生技組,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
中華科技大學,餐旅管理系,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
中華科技大學,行銷與流通管理系,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
中華科技大學,企業資訊與管理系,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
中華科技大學,航空服務管理系,115311臺北市南港區研究院路三段245號,https://www.cust.edu.tw
美和科技大學,護理系,912009屏東縣內埔鄉美和村屏光路23號,https://www.meiho.edu.tw
美和科技大學,美容系保健造型設計組,912009屏東縣內埔鄉美和村屏光路23號,https://www.meiho.edu.tw
美和科技大學,美容系寵物美容設計組,912009屏東縣內埔鄉美和村屏光路23號,https://www.meiho.edu.tw
美和科技大學,食品營養系,912009屏東縣內埔鄉美和村屏光路23號,https://www.meiho.edu.tw
美和科技大學,企業管理系,912009屏東縣內埔鄉美和村屏光路23號,https://www.meiho.edu.tw
美和科技大學,社會工作系,912009屏東縣內埔鄉美和村屏光路23號,https://www.meiho.edu.tw
美和科技大學,餐旅管理系,912009屏東縣內埔鄉美和村屏光路23號,https://www.meiho.edu.tw
美和科技大學,觀光系,912009屏東縣內埔鄉美和村屏光路23號,https://www.meiho.edu.tw
美和科技大學,運動與休閒管理系,912009屏東縣內埔鄉美和村屏光路23號,https://www.meiho.edu.tw
美和科技大學,口腔衛生學科,912009屏東縣內埔鄉美和村屏光路23號,https://www.meiho.edu.tw
長庚科技大學,護理系(林口校區),林口校區：333324桃園市龜山區文化一路261號嘉義校區：613016嘉義縣朴子市嘉朴路西段2號,https://www.cgust.edu.tw
長庚科技大學,幼兒保育系(林口校區),林口校區：333324桃園市龜山區文化一路261號嘉義校區：613016嘉義縣朴子市嘉朴路西段2號,https://www.cgust.edu.tw
長庚科技大學,高齡暨健康照護管理系(林口校區),林口校區：333324桃園市龜山區文化一路261號嘉義校區：613016嘉義縣朴子市嘉朴路西段2號,https://www.cgust.edu.tw
長庚科技大學,化妝品應用系(林口校區),林口校區：333324桃園市龜山區文化一路261號嘉義校區：613016嘉義縣朴子市嘉朴路西段2號,https://www.cgust.edu.tw
長庚科技大學,保健營養系(林口校區),林口校區：333324桃園市龜山區文化一路261號嘉義校區：613016嘉義縣朴子市嘉朴路西段2號,https://www.cgust.edu.tw
長庚科技大學,護理系(嘉義校區),林口校區：333324桃園市龜山區文化一路261號嘉義校區：613016嘉義縣朴子市嘉朴路西段2號,https://www.cgust.edu.tw
長庚科技大學,呼吸照護系(嘉義校區),林口校區：333324桃園市龜山區文化一路261號嘉義校區：613016嘉義縣朴子市嘉朴路西段2號,https://www.cgust.edu.tw
致理科技大學,企業管理系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
致理科技大學,財務金融系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
致理科技大學,會計資訊系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
致理科技大學,行銷與流通管理系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
致理科技大學,休閒遊憩管理系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
致理科技大學,國際貿易系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
致理科技大學,應用英語系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
致理科技大學,應用日語系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
致理科技大學,資訊管理系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
致理科技大學,商務科技管理系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
致理科技大學,多媒體設計系,220305新北市板橋區文化路一段313號,https://www.chihlee.edu.tw
宏國德霖科技大學,土木工程系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
宏國德霖科技大學,機械工程系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
宏國德霖科技大學,資訊工程系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
